dayofyear,pr
1950-12-02,0.060417514
1950-12-03,0.009070881
1950-12-04,0.025778083
1950-12-05,0.04830657
1950-12-06,0.03734039
1950-12-07,0.013672176
1950-12-08,0.031754278
1950-12-09,0.027547812
1950-12-10,0.004048007
1950-12-11,0.17481332
1950-12-12,0.0052994913
1950-12-13,0.014459203
1950-12-14,0.009903798
1950-12-15,0.036857866
1950-12-16,0.01576571
1950-12-17,0.4493524
1950-12-18,2.958076
1950-12-19,0.0084749935
1950-12-20,0.07843425
1950-12-21,0.031607874
1950-12-22,0.005916564
1950-12-23,46.51123
1950-12-24,33.436047
1950-12-25,3.878879
1950-12-26,12.091568
1950-12-27,12.061994
1950-12-28,0.48303905
1950-12-29,7.3458085
1950-12-30,0.016423136
1950-12-31,0.0036431567
1951-01-01,0.011438252
1951-01-02,0.074496664
1951-01-03,0.5079042
1951-01-04,0.008752906
1951-01-05,0.03329447
1951-01-06,0.30908585
1951-01-07,7.6247115
1951-01-08,3.300869
1951-01-09,0.3003645
1951-01-10,0.44446295
1951-01-11,3.2678347
1951-01-12,4.1173935
1951-01-13,2.6595006
1951-01-14,0.5076937
1951-01-15,0.15087134
1951-01-16,0.62814337
1951-01-17,0.4850041
1951-01-18,0.00026651757
1951-01-19,0.77395874
1951-01-20,2.6029043
1951-01-21,0.53442556
1951-01-22,0.17939357
1951-01-23,0.5258942
1951-01-24,0.051869623
1951-01-25,0.57506514
1951-01-26,0.6269563
1951-01-27,0.013775134
1951-01-28,0.0124362605
1951-01-29,0.015602191
1951-01-30,2.5868344
1951-01-31,0.038281262
1951-02-01,0.004935894
1951-02-02,0.011512106
1951-02-03,0.005097278
1951-02-04,0.0017677023
1951-02-05,0.028896028
1951-02-06,0.0005639702
1951-02-07,3.949944
1951-02-08,0.012766886
1951-02-09,0.58469784
1951-02-10,0.002545658
1951-02-11,0.44031632
1951-02-12,0.00034784887
1951-02-13,0.0056872787
1951-02-14,0.036994718
1951-02-15,0.0027536817
1951-02-16,0.032776468
1951-02-17,0.480259
1951-02-18,0.061201498
1951-02-19,0.011351252
1951-02-20,0.624155
1951-02-21,1.3075979e-07
1951-02-22,0.0068571065
1951-02-23,0.025825568
1951-02-24,0.052929807
1951-02-25,1.2923727
1951-02-26,0.84893304
1951-02-27,0.01031896
1951-02-28,0.006048686
1951-03-01,0.00943152
1951-03-02,0.051727537
1951-03-03,6.376095e-20
1951-03-04,0.01039947
1951-03-05,0.012358611
1951-03-06,1.3990679
1951-03-07,0.2222897
1951-03-08,0.006197001
1951-03-09,0.06471489
1951-03-10,0.0005948757
1951-03-11,0.0067032296
1951-03-12,0.0035998635
1951-03-13,0.51956093
1951-03-14,0.0016468161
1951-03-15,0.0036746336
1951-03-16,3.6643645e-14
1951-03-17,0.00015074897
1951-03-18,0.58477354
1951-03-19,0.0025897734
1951-03-20,2.0128236e-06
1951-03-21,0.0060913535
1951-03-22,0.029301189
1951-03-23,0.0035563577
1951-03-24,0.03889161
1951-03-25,0.019022547
1951-03-26,0.023895565
1951-03-27,0.07614489
1951-03-28,0.041912414
1951-03-29,0.045832995
1951-03-30,0.004987875
1951-03-31,0.0065078074
1951-04-01,0.047260877
1951-04-02,0.008322947
1951-04-03,0.024058513
1951-04-04,0.030990545
1951-04-05,0.038100924
1951-04-06,0.0035781744
1951-04-07,0.06821863
1951-04-08,0.12227144
1951-04-09,1.4069436
1951-04-10,0.6672154
1951-04-11,0.012317631
1951-04-12,0.017286476
1951-04-13,0.015028115
1951-04-14,0.032932766
1951-04-15,0.2802117
1951-04-16,0.020302152
1951-04-17,0.070652924
1951-04-18,1.519769
1951-04-19,0.49729773
1951-04-20,3.4396124
1951-04-21,15.906704
1951-04-22,9.394532
1951-04-23,0.37499014
1951-04-24,0.0028240015
1951-04-25,0.030601447
1951-04-26,0.031905185
1951-04-27,0.007972896
1951-04-28,0.0035634912
1951-04-29,0.0059787915
1951-04-30,0.004927494
1951-05-01,0.005134414
1951-05-02,0.0067496416
1951-05-03,0.2156873
1951-05-04,0.007822416
1951-05-05,0.555919
1951-05-06,3.3827012
1951-05-07,1.6637388
1951-05-08,0.015503554
1951-05-09,0.035775654
1951-05-10,0.08178284
1951-05-11,0.4359024
1951-05-12,0.94815165
1951-05-13,0.33642977
1951-05-14,0.5914051
1951-05-15,0.08751963
1951-05-16,0.2395631
1951-05-17,1.611707
1951-05-18,0.01898818
1951-05-19,0.006718871
1951-05-20,0.006975614
1951-05-21,0.0077109854
1951-05-22,0.1858773
1951-05-23,1.5017601
1951-05-24,0.25213575
1951-05-25,0.051078286
1951-05-26,0.09564771
1951-05-27,0.32761383
1951-05-28,1.1100265
1951-05-29,1.0233787
1951-05-30,0.09086423
1951-05-31,0.019865438
1951-06-01,0.0031005563
1951-06-02,0.0048885914
1951-06-03,0.005997346
1951-06-04,0.8493124
1951-06-05,0.006368275
1951-06-06,0.00396086
1951-06-07,2.9432223
1951-06-08,5.2548933
1951-06-09,0.8348204
1951-06-10,0.13291368
1951-06-11,0.018510554
1951-06-12,0.3421798
1951-06-13,0.35214266
1951-06-14,0.026404234
1951-06-15,0.0003407443
1951-06-16,0.47246134
1951-06-17,0.32823038
1951-06-18,0.6634548
1951-06-19,0.35523096
1951-06-20,0.0035737976
1951-06-21,0.0025498834
1951-06-22,0.046424724
1951-06-23,0.2973548
1951-06-24,0.0023915486
1951-06-25,0.0036333804
1951-06-26,0.065723926
1951-06-27,0.063898884
1951-06-28,1.0488828
1951-06-29,0.07294199
1951-06-30,0.70629764
1951-07-01,0.03155797
1951-07-02,2.0482624
1951-07-03,0.112649515
1951-07-04,0.13390459
1951-07-05,0.32080856
1951-07-06,0.17568511
1951-07-07,0.021792265
1951-07-08,0.50565886
1951-07-09,0.0011189795
1951-07-10,0.9563389
1951-07-11,0.007857804
1951-07-12,0.029471215
1951-07-13,0.051133204
1951-07-14,0.540602
1951-07-15,0.63687295
1951-07-16,0.049582355
1951-07-17,0.18224807
1951-07-18,0.15800805
1951-07-19,0.18936509
1951-07-20,0.45064628
1951-07-21,1.0952119
1951-07-22,1.1610465
1951-07-23,1.5119157
1951-07-24,0.1510897
1951-07-25,0.34500882
1951-07-26,0.7076161
1951-07-27,0.0338178
1951-07-28,0.0059379004
1951-07-29,1.4785534
1951-07-30,0.005738027
1951-07-31,0.04372158
1951-08-01,0.33314502
1951-08-02,0.31127596
1951-08-03,0.44882455
1951-08-04,2.4863126
1951-08-05,1.5064188
1951-08-06,0.5420728
1951-08-07,1.7386549
1951-08-08,0.314363
1951-08-09,0.5939169
1951-08-10,8.021122
1951-08-11,5.9005976
1951-08-12,0.7121635
1951-08-13,0.6018542
1951-08-14,0.37804574
1951-08-15,0.020317692
1951-08-16,0.003344237
1951-08-17,0.27534384
1951-08-18,0.8129055
1951-08-19,1.095182
1951-08-20,0.079088904
1951-08-21,0.61013174
1951-08-22,1.0139292
1951-08-23,1.2106072
1951-08-24,0.30716696
1951-08-25,0.14606799
1951-08-26,0.11697506
1951-08-27,0.26105383
1951-08-28,0.8964324
1951-08-29,1.2188691
1951-08-30,0.26038358
1951-08-31,0.35598317
1951-09-01,0.36387807
1951-09-02,0.57806134
1951-09-03,1.6368805
1951-09-04,1.750258
1951-09-05,0.9753831
1951-09-06,1.1048886
1951-09-07,2.7354465
1951-09-08,0.69062227
1951-09-09,0.95209676
1951-09-10,1.1314412
1951-09-11,1.6593668
1951-09-12,1.2167647
1951-09-13,0.19462778
1951-09-14,2.3386035
1951-09-15,0.36674932
1951-09-16,1.0767336
1951-09-17,0.41152737
1951-09-18,0.04079389
1951-09-19,0.027397396
1951-09-20,0.011347633
1951-09-21,0.016205592
1951-09-22,13.105457
1951-09-23,14.558539
1951-09-24,0.5392627
1951-09-25,0.11143696
1951-09-26,0.9675311
1951-09-27,0.018501448
1951-09-28,0.11026743
1951-09-29,0.062340498
1951-09-30,0.37453625
