"","subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
"64",64,62,28.08302572,10.63857967,179960.756,5.94,0,0,1.81,0.62,2.94,3.56,0.4,11.37,0.599,1.97820907131553e-05,"Natural (less than 15 % Impervious)"
"65",65,59.79150393,12.2859432,54.98557019,309782.866,5.94,0,0,1.01,3.15,1.42,4.58,0.88,29.11,0.77,1.47845491235141e-05,"Very urbanized (More than 45 % Impervious)"
"66",66,60.8477603,20.46153661,30.37886608,310209.2866,5.94,0,0,1.49,1.76,2.1,3.86,0.75,18.53,0.649,1.24432122658445e-05,"Urbanized (Between 15 and 45 % Impervious)"
"67",67,59.21464753,13.09451411,65.31544476,376961.0186,5.94,0,0,0.8,3.73,1.08,4.81,1.13,37.74,0.809,1.27599400539183e-05,"Very urbanized (More than 45 % Impervious)"
"68",68,64.12347737,16.77800082,56.40239857,306366.8551,5.94,0,0,0.79,3.24,1.58,4.83,0.92,31.68,0.813,1.57654129994691e-05,"Very urbanized (More than 45 % Impervious)"
"69",69,61.92278616,23.71009394,39.74706986,171176.1085,5.94,0,0,1.23,2.3,2.06,4.36,0.47,16.14,0.734,2.54708442562824e-05,"Urbanized (Between 15 and 45 % Impervious)"
"70",70,59.24870466,18.90064401,38.95121684,236054.897,5.94,0,0,1.4,2.25,1.93,4.18,0.61,20.8,0.703,1.77077453301043e-05,"Urbanized (Between 15 and 45 % Impervious)"
"71",71,58.22480265,1.229756545,63.33945328,161251.173,5.94,0,0,0.88,3.61,1.1,4.71,0.47,15.57,0.793,2.92090898464348e-05,"Very urbanized (More than 45 % Impervious)"
"72",72,59.32936266,3.150903879,45.27106014,352887.1791,5.94,0,0,1.26,4.22,1.66,4.22,0.93,25.41,0.71,1.19584962274987e-05,"Very urbanized (More than 45 % Impervious)"
"73",73,52.91550998,10.67842504,25.5618759,592047.0484,5.94,0,0,2.16,3.24,1.8,3.24,1.2,28.37,0.546,5.47253805040674e-06,"Urbanized (Between 15 and 45 % Impervious)"
