subcatchment ,perc_greenroof,time,runoff_cfs
Subcatchment 47,0_perc,1.3,0
Subcatchment 47,0_perc,1.45,0
Subcatchment 47,0_perc,2,0
Subcatchment 47,0_perc,2.15,0
Subcatchment 47,0_perc,2.3,0
Subcatchment 47,0_perc,2.45,0
Subcatchment 47,0_perc,3,0
Subcatchment 47,0_perc,3.15,0
Subcatchment 47,0_perc,3.3,0
Subcatchment 47,0_perc,3.45,0
Subcatchment 47,0_perc,4,0
Subcatchment 47,0_perc,4.15,0
Subcatchment 47,0_perc,4.3,0
Subcatchment 47,0_perc,4.45,0
Subcatchment 47,0_perc,5,0
Subcatchment 47,0_perc,5.15,3.11
Subcatchment 47,0_perc,5.3,4.45
Subcatchment 47,0_perc,5.45,6.68
Subcatchment 47,0_perc,6,4.48
Subcatchment 47,0_perc,6.15,1.24
Subcatchment 47,0_perc,6.3,1.22
Subcatchment 47,0_perc,6.45,0.12
Subcatchment 47,0_perc,7,1.21
Subcatchment 47,0_perc,7.15,0.19
Subcatchment 47,0_perc,7.3,0.08
Subcatchment 47,0_perc,7.45,0.04
Subcatchment 47,0_perc,8,0.03
Subcatchment 47,0_perc,8.15,0.02
Subcatchment 47,0_perc,8.3,0.01
Subcatchment 47,0_perc,8.45,0.01
Subcatchment 47,0_perc,9,1.09
Subcatchment 47,0_perc,9.15,1.22
Subcatchment 47,0_perc,9.3,0.12
Subcatchment 47,0_perc,9.45,0.04
Subcatchment 47,0_perc,10,1.08
Subcatchment 47,0_perc,10.15,1.35
Subcatchment 47,0_perc,10.3,0.22
Subcatchment 47,0_perc,10.45,0.09
Subcatchment 47,0_perc,11,2.4
Subcatchment 47,20_perc,0.15,0
Subcatchment 47,20_perc,0.3,0
Subcatchment 47,20_perc,0.45,0
Subcatchment 47,20_perc,1,0
Subcatchment 47,20_perc,1.15,0
Subcatchment 47,20_perc,1.3,0
Subcatchment 47,20_perc,1.45,0
Subcatchment 47,20_perc,2,0
Subcatchment 47,20_perc,2.15,0
Subcatchment 47,20_perc,2.3,0
Subcatchment 47,20_perc,2.45,0
Subcatchment 47,20_perc,3,0
Subcatchment 47,20_perc,3.15,0
Subcatchment 47,20_perc,3.3,0
Subcatchment 47,20_perc,3.45,0
Subcatchment 47,20_perc,4,0
Subcatchment 47,20_perc,4.15,0
Subcatchment 47,20_perc,4.3,0
Subcatchment 47,20_perc,4.45,0
Subcatchment 47,20_perc,5,0
Subcatchment 47,20_perc,5.15,2.61
Subcatchment 47,20_perc,5.3,3.64
Subcatchment 47,20_perc,5.45,5.45
Subcatchment 47,20_perc,6,3.67
Subcatchment 47,20_perc,6.15,1.01
Subcatchment 47,20_perc,6.3,1.03
Subcatchment 47,20_perc,6.45,0.08
Subcatchment 47,20_perc,7,1.05
Subcatchment 47,20_perc,7.15,0.17
Subcatchment 47,20_perc,7.3,0.08
Subcatchment 47,20_perc,7.45,0.05
Subcatchment 47,20_perc,8,0.03
Subcatchment 47,20_perc,8.15,0.02
Subcatchment 47,20_perc,8.3,0.02
Subcatchment 47,20_perc,8.45,0.01
Subcatchment 47,20_perc,9,0.93
Subcatchment 47,20_perc,9.15,1.03
Subcatchment 47,20_perc,9.3,0.08
Subcatchment 47,20_perc,9.45,0.03
Subcatchment 47,20_perc,10,0.91
Subcatchment 47,20_perc,10.15,1.17
Subcatchment 47,20_perc,10.3,0.21
Subcatchment 47,20_perc,10.45,0.09
Subcatchment 47,20_perc,11,2.05
Subcatchment 47,30_perc,0.15,0
Subcatchment 47,30_perc,0.3,0
Subcatchment 47,30_perc,0.45,0
Subcatchment 47,30_perc,1,0
Subcatchment 47,30_perc,1.15,0
Subcatchment 47,30_perc,1.3,0
Subcatchment 47,30_perc,1.45,0
Subcatchment 47,30_perc,2,0
Subcatchment 47,30_perc,2.15,0
Subcatchment 47,30_perc,2.3,0
Subcatchment 47,30_perc,2.45,0
Subcatchment 47,30_perc,3,0
Subcatchment 47,30_perc,3.15,0
Subcatchment 47,30_perc,3.3,0
Subcatchment 47,30_perc,3.45,0
Subcatchment 47,30_perc,4,0
Subcatchment 47,30_perc,4.15,0
Subcatchment 47,30_perc,4.3,0
Subcatchment 47,30_perc,4.45,0
Subcatchment 47,30_perc,5,0
Subcatchment 47,30_perc,5.15,2.36
Subcatchment 47,30_perc,5.3,3.26
Subcatchment 47,30_perc,5.45,4.89
Subcatchment 47,30_perc,6,3.29
Subcatchment 47,30_perc,6.15,0.91
Subcatchment 47,30_perc,6.3,0.94
Subcatchment 47,30_perc,6.45,0.07
Subcatchment 47,30_perc,7,0.97
Subcatchment 47,30_perc,7.15,0.16
Subcatchment 47,30_perc,7.3,0.08
Subcatchment 47,30_perc,7.45,0.05
